mail_id,label,prob,true_label
1,legit,0%,0
3,legit,0%,0
8,legit,0%,0
9,legit,0%,0
11,legit,0%,0
12,legit,0%,0
17,legit,0%,0
20,legit,0%,0
21,legit,0%,0
22,legit,0%,0
23,legit,5%,0
24,legit,0%,0
27,legit,0%,0
29,legit,0%,0
31,legit,0%,0
32,legit,0%,0
33,legit,5%,0
34,legit,0%,0
39,legit,0%,0
42,legit,10%,0
43,legit,0%,0
45,legit,0%,0
48,legit,0%,0
49,legit,0%,0
54,legit,0%,0
55,legit,0%,0
56,legit,0%,0
61,legit,5%,0
63,legit,0%,0
64,legit,0%,0
66,legit,0%,0
73,legit,10%,0
74,legit,10%,0
75,legit,10%,0
76,legit,10%,0
78,legit,10%,0
79,legit,0%,0
81,legit,10%,0
82,legit,0%,0
92,legit,10%,0
93,legit,0%,0
94,legit,10%,0
96,legit,0%,0
97,legit,10%,0
100,legit,0%,0
102,legit,10%,0
103,legit,0%,0
104,legit,0%,0
106,legit,0%,0
108,legit,0%,0
125,legit,5%,0
129,legit,0%,0
130,legit,10%,0
134,legit,10%,0
135,legit,10%,0
138,phishing,85%,0
141,legit,0%,0
142,legit,0%,0
143,legit,10%,0
144,legit,10%,0
145,legit,0%,0
148,legit,10%,0
149,legit,0%,0
150,legit,10%,0
151,legit,10%,0
153,legit,10%,0
154,legit,10%,0
155,legit,10%,0
157,legit,10%,0
158,legit,10%,0
159,legit,0%,0
160,legit,10%,0
162,legit,10%,0
163,legit,0%,0
164,legit,0%,0
165,legit,0%,0
166,legit,0%,0
167,legit,10%,0
168,legit,10%,0
169,legit,10%,0
170,legit,10%,0
171,legit,10%,0
172,legit,0%,0
173,legit,10%,0
174,legit,0%,0
175,legit,10%,0
176,legit,0%,0
178,legit,10%,0
179,legit,0%,0
181,legit,0%,0
182,legit,0%,0
183,legit,0%,0
184,legit,0%,0
185,legit,10%,0
186,legit,0%,0
187,legit,10%,0
188,legit,0%,0
189,legit,0%,0
190,legit,0%,0
191,legit,10%,0
192,legit,10%,0
193,legit,0%,0
194,legit,0%,0
195,legit,10%,0
196,legit,0%,0
197,phishing,95%,0
198,legit,0%,0
199,legit,10%,0
200,legit,10%,0
203,legit,0%,0
206,legit,10%,0
207,legit,0%,0
208,legit,0%,0
209,legit,10%,0
210,legit,10%,0
211,legit,10%,0
213,legit,10%,0
214,legit,10%,0
215,legit,10%,0
216,legit,10%,0
217,legit,0%,0
218,legit,0%,0
219,legit,0%,0
220,legit,10%,0
221,legit,0%,0
222,legit,0%,0
223,legit,10%,0
225,legit,10%,0
226,legit,0%,0
227,legit,0%,0
228,legit,0%,0
229,legit,10%,0
230,legit,0%,0
234,legit,0%,0
235,legit,0%,0
236,legit,0%,0
237,legit,10%,0
240,legit,0%,0
242,legit,10%,0
243,legit,0%,0
244,legit,0%,0
246,legit,0%,0
247,legit,0%,0
248,legit,0%,0
254,legit,0%,0
255,legit,0%,0
258,legit,0%,0
259,legit,0%,0
260,legit,10%,0
261,legit,0%,0
262,legit,0%,0
263,legit,0%,0
264,legit,5%,0
267,legit,0%,0
269,legit,10%,0
271,legit,0%,0
272,legit,10%,0
273,legit,0%,0
275,legit,0%,0
276,legit,0%,0
277,legit,0%,0
278,legit,0%,0
283,legit,0%,0
284,legit,0%,0
289,legit,0%,0
296,legit,0%,0
299,legit,0%,0
305,legit,0%,0
306,legit,10%,0
310,legit,5%,0
311,legit,10%,0
313,legit,0%,0
314,legit,0%,0
317,legit,0%,0
318,legit,0%,0
320,legit,10%,0
321,legit,0%,0
322,legit,0%,0
323,legit,0%,0
324,legit,0%,0
325,legit,0%,0
327,legit,10%,0
330,legit,0%,0
331,legit,0%,0
333,legit,0%,0
334,legit,0%,0
335,legit,0%,0
336,legit,0%,0
337,legit,0%,0
338,legit,0%,0
339,legit,0%,0
340,legit,0%,0
341,legit,0%,0
343,legit,10%,0
345,legit,0%,0
351,legit,0%,0
352,legit,0%,0
354,legit,0%,0
355,legit,0%,0
356,legit,0%,0
357,legit,0%,0
358,legit,0%,0
361,legit,0%,0
363,legit,0%,0
366,legit,10%,0
368,legit,0%,0
369,legit,0%,0
370,legit,10%,0
371,legit,0%,0
372,legit,0%,0
373,legit,0%,0
374,legit,0%,0
375,legit,0%,0
377,legit,10%,0
378,legit,0%,0
379,legit,10%,0
380,legit,10%,0
381,legit,0%,0
382,legit,0%,0
383,legit,0%,0
385,legit,0%,0
386,legit,10%,0
387,legit,0%,0
388,legit,0%,0
389,legit,0%,0
390,legit,0%,0
391,legit,10%,0
392,legit,10%,0
394,legit,10%,0
395,legit,5%,0
396,legit,10%,0
397,legit,5%,0
398,legit,0%,0
399,legit,0%,0
400,legit,0%,0
401,legit,0%,0
402,legit,10%,0
403,legit,10%,0
406,legit,0%,0
407,legit,0%,0
408,legit,0%,0
410,legit,10%,0
411,legit,0%,0
412,legit,10%,0
413,legit,0%,0
414,legit,0%,0
415,legit,10%,0
416,legit,0%,0
417,legit,0%,0
418,legit,0%,0
419,legit,0%,0
421,legit,0%,0
422,legit,0%,0
423,legit,10%,0
424,legit,0%,0
425,legit,0%,0
426,legit,0%,0
427,legit,0%,0
428,legit,0%,0
429,legit,0%,0
430,legit,0%,0
431,legit,0%,0
432,legit,0%,0
433,legit,0%,0
434,legit,0%,0
435,legit,0%,0
436,legit,0%,0
437,legit,0%,0
438,legit,10%,0
439,legit,0%,0
445,legit,10%,0
451,legit,10%,0
453,legit,10%,0
454,legit,0%,0
456,legit,10%,0
457,legit,10%,0
458,legit,10%,0
460,legit,10%,0
461,legit,10%,0
462,legit,10%,0
464,legit,0%,0
465,legit,10%,0
466,legit,0%,0
467,legit,10%,0
468,legit,10%,0
470,legit,0%,0
471,legit,10%,0
472,legit,10%,0
473,phishing,75%,0
475,legit,0%,0
477,legit,0%,0
478,legit,0%,0
479,legit,10%,0
480,legit,0%,0
481,legit,0%,0
483,legit,0%,0
484,legit,10%,0
485,legit,10%,0
486,legit,10%,0
487,legit,0%,0
488,legit,10%,0
489,legit,0%,0
490,legit,10%,0
491,legit,0%,0
492,legit,0%,0
493,legit,0%,0
497,legit,10%,0
499,legit,10%,0
500,phishing,85%,0
503,legit,0%,0
504,legit,10%,0
505,legit,0%,0
506,legit,0%,0
507,legit,0%,0
510,legit,0%,0
511,legit,10%,0
512,legit,0%,0
514,legit,0%,0
517,legit,0%,0
518,legit,0%,0
520,legit,0%,0
521,legit,0%,0
522,legit,10%,0
523,legit,0%,0
524,legit,10%,0
527,legit,0%,0
528,legit,0%,0
529,legit,10%,0
530,legit,0%,0
531,legit,0%,0
532,legit,10%,0
533,legit,0%,0
534,legit,0%,0
542,legit,0%,0
543,legit,0%,0
544,legit,0%,0
545,legit,0%,0
546,legit,0%,0
547,legit,0%,0
549,legit,10%,0
550,legit,0%,0
551,legit,0%,0
553,legit,0%,0
554,legit,0%,0
555,legit,0%,0
556,legit,0%,0
557,legit,0%,0
558,legit,10%,0
561,legit,0%,0
562,legit,0%,0
563,legit,0%,0
564,legit,10%,0
565,legit,10%,0
566,legit,10%,0
567,legit,10%,0
568,legit,0%,0
570,legit,5%,0
571,legit,10%,0
572,legit,0%,0
574,legit,10%,0
575,legit,10%,0
576,legit,10%,0
577,legit,0%,0
578,legit,10%,0
579,legit,10%,0
581,legit,5%,0
582,legit,0%,0
584,legit,0%,0
585,legit,0%,0
586,legit,0%,0
587,legit,0%,0
589,legit,10%,0
590,legit,0%,0
591,legit,0%,0
592,legit,0%,0
593,legit,0%,0
596,legit,0%,0
599,legit,0%,0
601,legit,0%,0
602,legit,10%,0
604,legit,5%,0
605,legit,10%,0
608,legit,5%,0
609,legit,0%,0
611,legit,10%,0
612,legit,0%,0
613,legit,10%,0
614,legit,0%,0
615,legit,10%,0
617,legit,0%,0
618,legit,0%,0
619,legit,10%,0
620,legit,0%,0
621,legit,0%,0
622,legit,10%,0
624,legit,0%,0
625,legit,0%,0
626,legit,0%,0
628,legit,0%,0
630,legit,0%,0
631,legit,0%,0
632,legit,0%,0
633,legit,10%,0
634,legit,0%,0
635,legit,0%,0
636,legit,0%,0
637,legit,0%,0
638,legit,0%,0
639,legit,0%,0
640,legit,0%,0
641,legit,0%,0
642,legit,0%,0
643,legit,0%,0
644,legit,0%,0
645,legit,0%,0
647,legit,0%,0
648,legit,0%,0
649,legit,5%,0
650,legit,0%,0
651,legit,0%,0
654,legit,0%,0
655,legit,0%,0
658,legit,0%,0
659,legit,5%,0
660,legit,10%,0
661,legit,0%,0
662,legit,0%,0
664,legit,0%,0
667,legit,0%,0
668,legit,10%,0
669,legit,0%,0
670,legit,0%,0
671,legit,5%,0
673,legit,0%,0
674,legit,0%,0
675,legit,0%,0
676,legit,0%,0
677,legit,0%,0
679,legit,0%,0
